id,industry,question,prompt
SEMI_5,semiconductor,半导体估值：周期、技术与稀缺性,请基于截至 {date} 的公开信息，对 {company}（{ticker}）这家半导体公司做估值分析。要求：1）根据公司环节选择合适估值框架，如 PE、EV/EBITDA、EV/Sales、PB 或分部估值；2）解释当前估值反映的是景气高点、周期修复、技术稀缺性还是长期结构成长；3）构建保守 / 基准 / 乐观三种情景，将收入增速、毛利率、capex、FCF 和倍数联系起来；4）指出估值最敏感的变量；5）判断“贵”或“便宜”背后的核心原因。请按“估值框架 / 当前倍数含义 / 三种情景 / 敏感变量 / 结论”输出。
SEMI_6,semiconductor,半导体研究中的反证与红旗清单,请从审慎视角，为 {company}（{ticker}）这家半导体公司生成一份反证与红旗清单。要求覆盖：客户集中度、单一平台依赖、技术迭代失败、良率问题、库存失真、价格竞争、地缘政治与出口管制、资本开支回报不足。每个风险请说明：为什么重要、最早的预警信号是什么、应观察哪些公开指标或表述。请按“风险内容 / 为何重要 / 预警信号 / 观察指标”输出。
PLATFORM_1,internet_platform,平台公司用户价值与双边网络效应,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）作为互联网平台 / 平台型公司的用户价值与网络效应。重点回答：1）平台连接了哪两类或多类参与者；2）核心价值在于流量分发、交易撮合、支付、内容生态、广告还是基础设施；3）用户和商家 / 创作者 / 开发者为什么会留在平台；4）网络效应、规模效应、数据效应与品牌效应分别强不强；5）平台是否已经进入成熟变现阶段，还是仍处于补贴换规模阶段。请按“平台角色 / 参与者关系 / 网络效应强弱 / 商业化阶段 / 关键观察”输出。
PLATFORM_2,internet_platform,平台公司流量、转化与变现效率,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）这家平台公司的流量、转化和变现效率。重点关注：1）DAU、MAU、用户时长、留存、频次、GMV、take rate、广告加载率、eCPM、商家数、付费率等核心指标；2）增长来自用户扩张、使用时长提升、货币化增强还是补贴变化；3）流量获取成本与营销效率如何；4）平台是通过提高效率赚钱，还是通过加重抽佣赚钱；5）哪些指标可以最早反映平台健康度变化。请按“核心KPI / 增长来源 / 变现效率 / 健康度判断 / 跟踪指标”输出。
PLATFORM_3,internet_platform,平台公司生态治理、竞争与监管风险,请作为风险导向研究员，分析 {company}（{ticker}）这家平台公司的生态治理、竞争格局与监管风险。重点关注：1）平台与商家/创作者/用户之间的利益分配是否平衡；2）平台是否依赖补贴、算法推荐、独家内容或支付闭环；3）主要竞争者如何挑战其护城河；4）监管对反垄断、数据隐私、未成年人保护、内容治理、平台责任的要求如何变化；5）哪些风险会压制估值中枢。请按“生态治理 / 竞争压力 / 监管风险 / 预警信号 / 结论”输出。
PLATFORM_4,internet_platform,平台公司市场关注点与催化剂,请结合联网搜索，梳理截至 {date} 市场在交易 {company}（{ticker}）这家平台公司的什么逻辑。重点分析：1）市场当前更关注用户增长、广告复苏、交易恢复、佣金率、出海、AI 推荐效率，还是监管放松；2）最近 6 个月的重要财报、业务调整、组织架构变化、回购、监管事件；3）未来 2 到 4 个季度最重要的催化剂；4）市场已经定价了哪些预期；5）哪些变量会引发估值切换。请按“当前交易逻辑 / 最近动态 / 催化剂地图 / 已定价与未定价 / 结论”输出。
PLATFORM_5,internet_platform,平台公司估值：流量价值、利润率与分部拆解,请基于截至 {date} 的公开信息，对 {company}（{ticker}）这家平台公司进行估值分析。要求：1）根据业务形态选择合适估值框架，如 PE、EV/EBITDA、EV/Sales、FCF Yield 或 SOTP；2）把估值与用户规模、GMV、广告收入、take rate、利润率和资本配置联系起来；3）若公司存在多业务，请做分部估值思路；4）构建保守 / 基准 / 乐观三种情景；5）指出估值向上或向下切换最关键的触发点。请按“估值框架 / 关键经营假设 / 分部或整体估值 / 三种情景 / 结论”输出。
PLATFORM_6,internet_platform,平台公司最小跟踪面板,请为 {company}（{ticker}）这家平台公司设计一个最小跟踪面板，基于截至 {date} 的公开信息，只保留最重要的 10 到 12 个指标。要求覆盖：用户规模、时长/频次、变现效率、商家或创作者生态、补贴或获客成本、监管与治理信号、资本配置。每个指标说明：看什么、为什么重要、超预期或低于预期分别意味着什么。请按表格化思路输出。
FIN_1,financials,金融公司商业模式与利润来源,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）作为金融公司（银行 / 保险 / 券商 / 资管 / 支付 / 其他金融服务）的商业模式与利润来源。要求：1）明确其核心收入来源（净息差、手续费、承保利润、投资收益、佣金、管理费、支付费率等）；2）判断利润的稳定性与周期性；3）识别对利率、信用、资本市场活跃度、资产价格和监管的敏感度；4）若公司有多板块业务，请区分核心盈利板块与波动来源；5）总结公司更像利率敏感型、信用敏感型、市场敏感型还是资产管理型资产。请按“商业模式 / 收入结构 / 波动来源 / 关键驱动 / 一句话判断”输出。
FIN_2,financials,金融公司资产质量、负债成本与资本实力,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）这家金融公司的资产质量、负债成本与资本实力。要求根据公司类型选择重点：银行关注 NIM、贷款结构、不良率、拨备覆盖、资本充足率、存款成本；保险关注保费结构、赔付率、综合成本率、准备金假设、投资资产久期；券商/资管关注杠杆、保证金、AUM 结构、资金来源和流动性。请按“资产端质量 / 负债端成本 / 资本与流动性 / 主要风险 / 结论”输出。
FIN_3,financials,金融公司利润质量与账面价值可信度,请作为重视风险和会计口径的研究员，分析 {company}（{ticker}）这家金融公司的利润质量与账面价值可信度。重点关注：1）利润中有多少来自可持续经营，有多少来自投资波动或一次性因素；2）拨备、准备金、估值假设、会计分类是否存在平滑利润的可能；3）账面净资产和内含价值是否可信；4）经营现金流、分红能力和监管资本之间是否匹配；5）哪些会计项目最值得警惕。请按“利润质量 / 账面价值可信度 / 分红与资本约束 / 红旗信号 / 结论”输出。
FIN_4,financials,金融公司市场关注点与政策催化剂,请结合联网搜索，梳理截至 {date} 市场对 {company}（{ticker}）这家金融公司的主要关注点与政策/经营催化剂。重点分析：1）市场当前更关注利率路径、信用损失、保费增长、资本市场活跃度、监管放松/收紧，还是资本回报；2）最近 6 个月的重要财报、监管政策、资本补充、分红回购、管理层变化；3）未来 2 到 4 个季度最关键的外部变量和公司事件；4）哪些预期已经被估值反映；5）哪类政策变化最能改变估值中枢。请按“当前交易逻辑 / 最近动态 / 政策与经营催化剂 / 已定价与未定价 / 结论”输出。
FIN_5,financials,金融公司估值：ROE、账面价值与资本回报,请基于截至 {date} 的公开信息，对 {company}（{ticker}）这家金融公司进行估值分析。要求根据公司类型选择合适框架，如 PE、PB、P/TBV、股息率、内含价值、AUM 倍数或 SOTP；2）把估值与 ROE、资本充足率、分红能力、增长与风险成本联系起来；3）构建保守 / 基准 / 乐观三种情景；4）判断当前估值是在交易信用风险、政策风险、景气修复还是高股息防御；5）指出估值修复或下杀最敏感的变量。请按“估值框架 / 当前估值含义 / 三种情景 / 敏感变量 / 结论”输出。
FIN_6,financials,金融公司证伪框架与持续跟踪清单,请为 {company}（{ticker}）这家金融公司生成一份证伪框架与持续跟踪清单。要求覆盖：盈利能力、资产质量、资本实力、分红可持续性、监管变化、市场敏感度。每个跟踪项说明：看什么、为什么重要、超预期和低于预期分别意味着什么。最后总结哪三类证据会最快证明当前投资判断是错的。请按表格化思路输出。
